slug,name,country,region,piste_km,apres_score,crowd_score,infra_score,hut_score,park_score,beginner_score,advanced_score,lat,lon,image_url,openskimap_url,skimap_url,piste_map_url,official_url,skipass_url,piste_km_total,piste_km_easy,piste_km_intermediate,piste_km_advanced,runs_count_total,lifts_count_total,elevation_min_m,elevation_max_m,vertical_m,wikipedia_url,notes,source,last_checked
11er-neustift-neder,11er Neustift/Neder,Österreich,Tyrol,10.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,47.10114900000007,11.325328929750802,,https://openskimap.org/?obj=14e44f003d9b6e9b2b4b0558cb95b247b4008b3c,https://skimap.org/skiareas/view/2543,https://skimap.org/skiareas/view/2543,https://www.stubai.at/skigebiete/elferlifte/,,10.7,0.1,4.9,5.7,51,5,979.7,2033.9,1055,,,openskistats.org + api.openskimap.org + wikidata.org,2026-01-28
3-zinnen-dolomites-dobbiaco-san-candido-braies-sesto-alta-pusteria,3 Zinnen Dolomites (Dobbiaco - San Candido - Braies - Sesto - Alta Pusteria),Italien,Bolzano/Bozen,58.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,46.68807873387098,12.37380646854839,,https://openskimap.org/?obj=cece2d5f54131184f301a127d3f1e0f747031367,https://skimap.org/skiareas/view/2067,https://skimap.org/skiareas/view/2067,https://www.dreizinnen.com/,,58.8,20.8,18.7,5.9,126,21,1134.7,2220.9,1089.6,,,openskistats.org + api.openskimap.org + wikidata.org,2026-01-28
4-vallees-verbier-la-tzoumaz-nendaz-veysonnaz-thyon,4 Vallées – Verbier/La Tzoumaz/Nendaz/Veysonnaz/Thyon,Schweiz,Valais,165.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,46.12005235,7.264975510000001,,https://openskimap.org/?obj=0ed72c1a44d748a815d1efcd54caacf169610f05,https://skimap.org/skiareas/view/989,https://skimap.org/skiareas/view/989,http://www.4vallees.ch/,,165.5,61.2,79.2,24.1,315,79,904.7,3299.3,1944.4,,,openskistats.org + api.openskimap.org + wikidata.org,2026-01-28
abondance,Abondance,Frankreich,Haute-Savoie,9.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,46.28266613660247,6.727229647292763,,https://openskimap.org/?obj=d3d69f021189f84fe11396cd2078f905ebd0beb9,https://skimap.org/skiareas/view/4389,https://skimap.org/skiareas/view/4389,https://www.portesdusoleil.com/,,9.7,6.3,3,0.3,19,9,919.9,1689.1,769.2,,,openskistats.org + api.openskimap.org + wikidata.org,2026-01-28
adelboden-lenk,Adelboden - Lenk,Schweiz,Bern,83.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,46.46278593684211,7.516812273684212,,https://openskimap.org/?obj=fdbe9df85d02479357a5a789328b43cb5b6aef1c,https://skimap.org/skiareas/view/1002,https://skimap.org/skiareas/view/1002,https://www.adelboden-lenk.ch/de/Erlebnis/Skiregion/Adelboden-Lenk,,83.3,44.1,32.5,6.7,132,21,1262.7,2193,930.3,,,openskistats.org + api.openskimap.org + wikidata.org,2026-01-28
adelboden-tschentenalp,Adelboden - TschentenAlp,Schweiz,Bern,6.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,46.49989312500001,7.552475374999999,,https://openskimap.org/?obj=c3556d945fdc212c3e94a934a6fc4fe3ece0f5ec,https://skimap.org/skiareas/view/17213,https://skimap.org/skiareas/view/17213,https://www.tschentenalp.ch,,6.7,1.7,4.8,0.2,7,6,1401.1,1955.7,554.6,,,openskistats.org + api.openskimap.org + wikidata.org,2026-01-28
adelharz-und-breitensteinlifte-kranzegg-am-grunten,Adelharz- und Breitensteinlifte (Kranzegg am Grünten),Deutschland,Bavaria,7.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,47.583357680523655,10.3326416015625,,https://openskimap.org/?obj=34aefc36ef2dff03ffbc04baaddf0814e7e29ada,https://skimap.org/skiareas/view/17768,https://skimap.org/skiareas/view/17768,https://www.adelharzlifte.de/,,7.6,7.6,,,8,4,973.7,1315,343.9,,,openskistats.org + api.openskimap.org + wikidata.org,2026-01-28
aela-maloja,Aela (Maloja),Schweiz,Graubunden,3.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,46.397655,9.707386130769232,,https://openskimap.org/?obj=8117b8963f3c59c5d572d311e132218ff723c805,https://skimap.org/skiareas/view/14677,https://skimap.org/skiareas/view/14677,https://www.bregaglia.ch/de/alpinski,,3.1,,1.9,1.2,4,3,1816.2,2133.2,312.4,,,openskistats.org + api.openskimap.org + wikidata.org,2026-01-28
aeschiallmend,Aeschiallmend,Schweiz,Bern,6.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,46.646531611111115,7.7331602722222215,,https://openskimap.org/?obj=92f3b5384b3fa291c6ab4072334e2f340c576c4d,https://skimap.org/skiareas/view/12874,https://skimap.org/skiareas/view/12874,https://www.skilift-aeschiried.ch/,,6.8,3.2,3.2,0.5,13,4,913.9,1380.9,468.8,,,openskistats.org + api.openskimap.org + wikidata.org,2026-01-28
aggershausen,Aggershausen,Deutschland,Baden-Württemberg,1.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,48.07709282682927,8.81020918780488,,https://openskimap.org/?obj=e3edd0612360094bde3fb157a6ba62d252f5cca4,,,,,1.3,1.3,,,5,2,849.3,897.3,49.6,,,openskistats.org + api.openskimap.org + wikidata.org,2026-01-28
aichelberglifte-karlstift,Aichelberglifte Karlstift,Österreich,Lower Austria,4.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,48.594472123076926,14.746542569230769,,https://openskimap.org/?obj=c87ef8964bdbd00c5603d31098cb6521130acb40,https://skimap.org/skiareas/view/14455,https://skimap.org/skiareas/view/14455,,,4.4,2.9,1.3,0.1,9,2,888,1045.5,158.2,,,openskistats.org + api.openskimap.org + wikidata.org,2026-01-28
aillon-margeriaz,Aillon-Margériaz,Frankreich,Savoie,20.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,45.637918313785526,6.050839327133481,,https://openskimap.org/?obj=df9a26b589d512af30d78fa6ad55e745a3a677e3,,,,,20.2,14.8,3.4,1.5,37,10,1385.8,1832.5,449.5,,,openskistats.org + api.openskimap.org + wikidata.org,2026-01-28
aillon-le-jeune,Aillon-le-Jeune,Frankreich,Savoie,1.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,45.599340600000005,6.109535686206896,,https://openskimap.org/?obj=a2535a9ac71bbb890ba3cf431e90f71dbf525558,,,https://www.lesaillons.com,,1.1,1.1,,,3,0,971.7,1153.4,181.7,,,openskistats.org + api.openskimap.org + wikidata.org,2026-01-28
airolo-pescium,Airolo Pesciüm,Schweiz,Ticino,20.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,46.510421736343105,8.612196155304733,,https://openskimap.org/?obj=67a84872331001ee2d7615a03eb9d424c66e6006,https://skimap.org/skiareas/view/3169,https://skimap.org/skiareas/view/3169,https://airolo.ch/,,20.5,0.9,8.8,10.7,31,8,1178.9,2252.8,1074.7,,,openskistats.org + api.openskimap.org + wikidata.org,2026-01-28
ala-di-stura,Ala di Stura,Italien,Turin,5.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,45.30369492311826,7.3121628268817185,,https://openskimap.org/?obj=a0714d5b9bf5ac6e4b14641aa0a3aee630ceaed7,https://skimap.org/skiareas/view/5096,https://skimap.org/skiareas/view/5096,,,5.3,1.7,1,2.6,11,4,1023.9,1733.8,709.9,,,openskistats.org + api.openskimap.org + wikidata.org,2026-01-28
alberschwende,Alberschwende,Österreich,Vorarlberg,1.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,47.4484091719101,9.841138088764048,,https://openskimap.org/?obj=1ee6ad865d52676e22e9fcfb5795e8eed37b8178,https://skimap.org/skiareas/view/2695,https://skimap.org/skiareas/view/2695,https://www.skilifte-alberschwende.at/,,1.7,1.7,,,4,2,737.4,938.3,200.9,,,openskistats.org + api.openskimap.org + wikidata.org,2026-01-28
